date,category,value,units,notes
14/07/21,Number of Active cases,429946,value in absolute number,
14/07/21,Total Recovered,30104720,value in absolute number,
14/07/21,Total Deaths,411408,value in absolute number,
13/07/21,Total Positive Cases,30907282,value in absolute number,
13/07/21,Number of Active cases,432778,value in absolute number,
13/07/21,Total Recovered,30063720,value in absolute number,
13/07/21,Total Deaths,410784,value in absolute number,
12/07/21,Total Positive Cases,30874376,value in absolute number,
12/07/21,Number of Active cases,450899,value in absolute number,
12/07/21,Total Recovered,30014713,value in absolute number,
12/07/21,Total Deaths,408764,value in absolute number,
11/07/21,Total Positive Cases,30837222,value in absolute number,
11/07/21,Number of Active cases,454118,value in absolute number,
11/07/21,Total Recovered,29975064,value in absolute number,
11/07/21,Total Deaths,408040,value in absolute number,
10/07/21,Total Positive Cases,30795716,value in absolute number,
10/07/21,Number of Active cases,455033,value in absolute number,
10/07/21,Total Recovered,29933538,value in absolute number,
10/07/21,Total Deaths,407145,value in absolute number,
09/07/21,Total Positive Cases,30752950,value in absolute number,
09/07/21,Number of Active cases,458727,value in absolute number,
09/07/21,Total Recovered,29888284,value in absolute number,
09/07/21,Total Deaths,405939,value in absolute number,
08/07/21,Total Positive Cases,30709557,value in absolute number,
08/07/21,Number of Active cases,460704,value in absolute number,
08/07/21,Total Recovered,29843825,value in absolute number,
08/07/21,Total Deaths,405028,value in absolute number,
07/07/21,Total Positive Cases,30663665,value in absolute number,
07/07/21,Number of Active cases,459920,value in absolute number,
07/07/21,Total Recovered,29799534,value in absolute number,
07/07/21,Total Deaths,404211,value in absolute number,
06/07/21,Total Positive Cases,30619932,value in absolute number,
06/07/21,Number of Active cases,464357,value in absolute number,
06/07/21,Total Recovered,29752294,value in absolute number,
06/07/21,Total Deaths,403281,value in absolute number,
05/07/21,Total Positive Cases,30585229,value in absolute number,
05/07/21,Number of Active cases,482071,value in absolute number,
05/07/21,Total Recovered,29700430,value in absolute number,
05/07/21,Total Deaths,402728,value in absolute number,
04/07/21,Total Positive Cases,30545433,value in absolute number,
04/07/21,Number of Active cases,485350,value in absolute number,
04/07/21,Total Recovered,29658078,value in absolute number,
04/07/21,Total Deaths,402005,value in absolute number,
03/07/21,Total Positive Cases,30502362,value in absolute number,
03/07/21,Number of Active cases,495533,value in absolute number,
03/07/21,Total Recovered,29605779,value in absolute number,
03/07/21,Total Deaths,401050,value in absolute number,
02/07/21,Total Positive Cases,30458251,value in absolute number,
02/07/21,Number of Active cases,509637,value in absolute number,
02/07/21,Total Recovered,29548302,value in absolute number,
02/07/21,Total Deaths,400312,value in absolute number,
01/07/21,Total Positive Cases,30411634,value in absolute number,
01/07/21,Number of Active cases,523257,value in absolute number,
01/07/21,Total Recovered,29488918,value in absolute number,
01/07/21,Total Deaths,399459,value in absolute number,
30/06/21,Total Positive Cases,30362848,value in absolute number,
30/06/21,Number of Active cases,537064,value in absolute number,
30/06/21,Total Recovered,29427330,value in absolute number,
30/06/21,Total Deaths,398454,value in absolute number,
29/06/21,Total Positive Cases,30316897,value in absolute number,
29/06/21,Number of Active cases,552659,value in absolute number,
29/06/21,Total Recovered,29366601,value in absolute number,
29/06/21,Total Deaths,397637,value in absolute number,
28/06/21,Total Positive Cases,30279331,value in absolute number,
28/06/21,Number of Active cases,572994,value in absolute number,
28/06/21,Total Recovered,29309607,value in absolute number,
28/06/21,Total Deaths,396730,value in absolute number,
27/06/21,Total Positive Cases,30233183,value in absolute number,
27/06/21,Number of Active cases,586403,value in absolute number,
27/06/21,Total Recovered,29251029,value in absolute number,
27/06/21,Total Deaths,395751,value in absolute number,
26/06/21,Total Positive Cases,30183143,value in absolute number,
26/06/21,Number of Active cases,595565,value in absolute number,
26/06/21,Total Recovered,29193085,value in absolute number,
26/06/21,Total Deaths,394493,value in absolute number,
25/06/21,Total Positive Cases,30134445,value in absolute number,
25/06/21,Number of Active cases,612868,value in absolute number,
25/06/21,Total Recovered,29128267,value in absolute number,
25/06/21,Total Deaths,393310,value in absolute number,
24/06/21,Total Positive Cases,30082778,value in absolute number,
24/06/21,Number of Active cases,627057,value in absolute number,
24/06/21,Total Recovered,29063740,value in absolute number,
24/06/21,Total Deaths,391981,value in absolute number,
23/06/21,Total Positive Cases,30028709,value in absolute number,
23/06/21,Number of Active cases,643194,value in absolute number,
23/06/21,Total Recovered,28994855,value in absolute number,
23/06/21,Total Deaths,390660,value in absolute number,
22/06/21,Total Positive Cases,29977861,value in absolute number,
22/06/21,Number of Active cases,662521,value in absolute number,
22/06/21,Total Recovered,28926038,value in absolute number,
22/06/21,Total Deaths,389302,value in absolute number,
21/06/21,Total Positive Cases,29935221,value in absolute number,
21/06/21,Number of Active cases,702887,value in absolute number,
21/06/21,Total Recovered,28844199,value in absolute number,
21/06/21,Total Deaths,388135,value in absolute number,
20/06/21,Total Positive Cases,29881965,value in absolute number,
20/06/21,Number of Active cases,729243,value in absolute number,
20/06/21,Total Recovered,28766009,value in absolute number,
20/06/21,Total Deaths,386713,value in absolute number,
19/06/21,Total Positive Cases,29823546,value in absolute number,
19/06/21,Number of Active cases,760019,value in absolute number,
19/06/21,Total Recovered,28678390,value in absolute number,
19/06/21,Total Deaths,385137,value in absolute number,
18/06/21,Total Positive Cases,29762793,value in absolute number,
18/06/21,Number of Active cases,798656,value in absolute number,
18/06/21,Total Recovered,28580647,value in absolute number,
18/06/21,Total Deaths,383490,value in absolute number,
17/06/21,Total Positive Cases,29700313,value in absolute number,
17/06/21,Number of Active cases,826740,value in absolute number,
17/06/21,Total Recovered,28491670,value in absolute number,
17/06/21,Total Deaths,381903,value in absolute number,
16/06/21,Total Positive Cases,29633105,value in absolute number,
16/06/21,Number of Active cases,865432,value in absolute number,
16/06/21,Total Recovered,28388100,value in absolute number,
16/06/21,Total Deaths,379573,value in absolute number,
15/06/21,Total Positive Cases,29570881,value in absolute number,
15/06/21,Number of Active cases,913378,value in absolute number,
15/06/21,Total Recovered,28280472,value in absolute number,
15/06/21,Total Deaths,377031,value in absolute number,
14/06/21,Total Positive Cases,29510410,value in absolute number,
14/06/21,Number of Active cases,973158,value in absolute number,
14/06/21,Total Recovered,28162947,value in absolute number,
14/06/21,Total Deaths,374305,value in absolute number,
13/06/21,Total Positive Cases,29439989,value in absolute number,
13/06/21,Number of Active cases,1026159,value in absolute number,
13/06/21,Total Recovered,28043446,value in absolute number,
13/06/21,Total Deaths,370384,value in absolute number,
12/06/21,Total Positive Cases,29359155,value in absolute number,
12/06/21,Number of Active cases,1080690,value in absolute number,
12/06/21,Total Recovered,27911384,value in absolute number,
12/06/21,Total Deaths,367081,value in absolute number,
11/06/21,Total Positive Cases,29274823,value in absolute number,
11/06/21,Number of Active cases,1121671,value in absolute number,
11/06/21,Total Recovered,27790073,value in absolute number,
11/06/21,Total Deaths,363079,value in absolute number,
10/06/21,Total Positive Cases,29183121,value in absolute number,
10/06/21,Number of Active cases,1167952,value in absolute number,
10/06/21,Total Recovered,27655493,value in absolute number,
10/06/21,Total Deaths,359676,value in absolute number,
09/06/21,Total Positive Cases,29089069,value in absolute number,
09/06/21,Number of Active cases,1231415,value in absolute number,
09/06/21,Total Recovered,27504126,value in absolute number,
09/06/21,Total Deaths,353528,value in absolute number,
08/06/21,Total Positive Cases,28996473,value in absolute number,
08/06/21,Number of Active cases,1303702,value in absolute number,
08/06/21,Total Recovered,27341462,value in absolute number,
08/06/21,Total Deaths,351309,value in absolute number,
07/06/21,Total Positive Cases,28909975,value in absolute number,
07/06/21,Number of Active cases,1401609,value in absolute number,
07/06/21,Total Recovered,27159180,value in absolute number,
07/06/21,Total Deaths,349186,value in absolute number,
06/06/21,Total Positive Cases,28809339,value in absolute number,
06/06/21,Number of Active cases,1477799,value in absolute number,
06/06/21,Total Recovered,26984781,value in absolute number,
06/06/21,Total Deaths,346759,value in absolute number,
05/06/21,Total Positive Cases,28694879,value in absolute number,
05/06/21,Number of Active cases,1555248,value in absolute number,
05/06/21,Total Recovered,26795549,value in absolute number,
05/06/21,Total Deaths,344082,value in absolute number,
04/06/21,Total Positive Cases,28574350,value in absolute number,
04/06/21,Number of Active cases,1635993,value in absolute number,
04/06/21,Total Recovered,26597655,value in absolute number,
04/06/21,Total Deaths,340702,value in absolute number,
03/06/21,Total Positive Cases,28441986,value in absolute number,
03/06/21,Number of Active cases,1713413,value in absolute number,
03/06/21,Total Recovered,26390584,value in absolute number,
03/06/21,Total Deaths,337989,value in absolute number,
02/06/21,Total Positive Cases,28307832,value in absolute number,
02/06/21,Number of Active cases,1793645,value in absolute number,
