year,month,country,category,value_rupee,value_usd,currency,unit,note
2023,July,Bangladesh,Import,131170.41,159.63,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023,July,Bangladesh,Trade Balance,462096.27,562.41,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023,July,Belgium,Export,623968.3,759.44,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023,July,Belgium,Import,500014.14,608.55,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023,July,Belgium,Trade Balance,123954.16,150.89,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023,July,Brazil,Export,498136.29,606.29,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023,July,Brazil,Import,500285.75,608.93,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023,July,Brazil,Trade Balance,-2149.46,-2.64,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023,July,China,Export,960204.73,1168.72,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023,July,China,Import,7474426.21,9098.08,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023,July,China,Trade Balance,-6514221.48,-7929.36,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023,July,France,Export,475699.36,578.91,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023,July,France,Import,406699.88,494.95,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023,July,France,Trade Balance,68999.48,83.96,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023,July,Germany,Export,679883.37,827.43,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023,July,Germany,Import,984340.46,1198.03,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023,July,Germany,Trade Balance,-304457.09,-370.6,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023,July,Hong Kong,Export,422113.7,513.77,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023,July,Hong Kong,Import,1535492.44,1868.99,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023,July,Hong Kong,Trade Balance,-1113378.74,-1355.22,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
