fiscal_year,country,category,value_rupee,value_usd,currency,unit,note
2023-24,Fiji,Trade Balance,26455.05,31.99,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,Finland,Export,176875.9,214.71,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,Finland,Import,410269.32,498.51,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,Finland,Trade Balance,-233393.42,-283.8,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,France,Export,2578730.24,3130.08,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,France,Import,1718203.07,2086.74,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,France,Trade Balance,860527.17,1043.34,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,French Guiana,Export,405.96,0.49,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,French Guiana,Import,303.07,0.35,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,French Guiana,Trade Balance,102.89,0.14,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,French Polynesia,Export,3869.09,4.67,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,French Polynesia,Import,206.91,0.25,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,French Polynesia,Trade Balance,3662.18,4.42,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,Gabon,Export,27986.11,33.84,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,Gabon,Import,121193.69,147.23,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,Gabon,Trade Balance,-93207.58,-113.39,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,Gambia,Export,77547.07,94.17,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,Gambia,Import,18820.79,22.83,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
